route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
15562,CMBC,210,UPPER LYNN VALLEY/VANCOUVER    , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r210.ashx, , 
15563,CMBC,211,SEYMOUR/PHIBBS EXCH/VANCOUVER, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r211.ashx, , 
15564,CMBC,212,DEEP COVE/PHIBBS EXCH     , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r212.ashx, , 
15565,CMBC,214,BLUERIDGE/PHIBBS EXCH/VANCOUVER  , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r214.ashx, , 
15566,CMBC,228,LYNN VALLEY/LONSDALE QUAY      , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r228.ashx, , 
15567,CMBC,229,WESTLYNN/PHIBBS EXCH/LONSDALE QUAY, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r229.ashx, , 
15568,CMBC,230,UPPER LONSDALE/LONSDALE QUAY   , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r230.ashx, , 
15569,CMBC,232,GROUSE MOUNTAIN/PHIBBS EXCH, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r232.ashx, , 
15570,CMBC,236,GROUSE MOUNTAIN/LONSDALE QUAY, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r236.ashx, , 
15571,CMBC,239,CAPILANO UNIVERSITY/PARK ROYAL    , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r239.ashx, , 
15572,CMBC,240,15TH STREET/VANCOUVER          , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r240.ashx, , 
15573,CMBC,241,UPPER LONSDALE/VANCOUVER       , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r241.ashx, , 
15574,CMBC,242,UPPER LONSDALE/VANCOUVER       , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r242.ashx, , 
15575,CMBC,246,LONSDALE QUAY/HIGHLAND/VANCOUVER, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r246.ashx, , 
15576,CMBC,247,UPPER CAPILANO/GROUSE/VANCOUVER, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r247.ashx, , 
15577,CMBC,250,HORSESHOE BAY/DUNDARAVE/VANCOUVER, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r250.ashx, , 
15578,CMBC,251,QUEENS/VANCOUVER/PARK ROYAL, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r251.ashx, , 
15579,CMBC,252,INGLEWOOD/VANCOUVER/PARK ROYAL, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r252.ashx, , 
15580,CMBC,253,CAULFEILD/VANCOUVER/PARK ROYAL, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r253.ashx, , 
15581,CMBC,254,BRITISH PROPERTIES/PARK ROYAL/VAN, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r254.ashx, , 
15582,CMBC,255,DUNDARAVE/LYNN VALLEY CENTRE    , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r255.ashx, , 
15583,CMBC,256,FOLKSTONE WY/WHITBY ESTATE/SPURAWAY, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r256.ashx, , 
15584,CMBC,257,HORSESHOE BAY/VANCOUVER EXPRESS, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r257.ashx, , 
